DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm_Cd1,Crm_Cd2,Crm_Cd3,Crm_Cd4,LOCATION,Cross Street,LAT,LON
190119233,7/25/2019 0:00,7/25/2019 0:00,1740,1,Central,159,1,320,"BURGLARY, ATTEMPTED",1609 1501,25,F,O,405,CLOTHING STORE,311,HAMMER,IC,Invest Cont,320,,,,400    COLYTON                      ST,,34.0435,-118.2365
190720538,12/8/2019 0:00,12/8/2019 0:00,1750,7,Wilshire,735,2,625,OTHER ASSAULT,1501,21,F,B,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625,,,,5600    WILSHIRE                     BL,,34.0633,-118.3473
190918347,10/15/2019 0:00,10/14/2019 0:00,2100,9,Van Nuys,923,2,624,BATTERY - SIMPLE ASSAULT,416,23,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,15100    ARCHWOOD                     ST,,34.193,-118.4618
191509951,4/24/2019 0:00,4/24/2019 0:00,1900,15,N Hollywood,1525,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,48,F,W,108,PARKING LOT,,,IC,Invest Cont,740,,,,6400    LAUREL CANYON                BL,,34.1867,-118.3965
190108599,3/7/2019 0:00,3/7/2019 0:00,2250,1,Central,164,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1813 0913 2000 0445,45,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",216,SCISSORS,AO,Adult Other,236,,,,600 S  SPRING                       ST,,34.046,-118.2509
190410424,5/29/2019 0:00,5/22/2019 0:00,730,4,Hollenbeck,421,2,624,BATTERY - SIMPLE ASSAULT,0448 0416 0445 2002 0369,51,F,H,121,YARD (RESIDENTIAL/BUSINESS),308,STICK,IC,Invest Cont,624,,,,200 S  AVENUE 19,,34.0721,-118.2213
190709527,4/22/2019 0:00,4/22/2019 0:00,1140,7,Wilshire,702,2,624,BATTERY - SIMPLE ASSAULT,1251 1402 0444,16,F,H,721,HIGH SCHOOL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,624,998,,,7800    MELROSE                      AV,,34.0838,-118.3595
190913757,7/14/2019 0:00,7/13/2019 0:00,1630,9,Van Nuys,943,2,624,BATTERY - SIMPLE ASSAULT,1309,58,F,W,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,624,,,,14400    BURBANK                      BL,,34.1721,-118.4463
190219125,9/27/2019 0:00,9/27/2019 0:00,1400,2,Rampart,249,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1251 1259 2032,12,M,H,721,HIGH SCHOOL,,,IC,Invest Cont,341,,,,300    LUCAS                        AV,,34.0583,-118.2616
190315742,6/28/2019 0:00,6/28/2019 0:00,1000,3,Southwest,358,1,480,BIKE - STOLEN,0344 1251,22,M,A,722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,,,IC,Invest Cont,480,,,,800    BLOOMWALK,,34.0215,-118.2868
190918991,10/28/2019 0:00,10/28/2019 0:00,800,9,Van Nuys,966,1,310,BURGLARY,0321 0358 1414 0344 0352 1607,42,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,13400    MCCORMICK                    ST,,34.1658,-118.4253
190313119,5/17/2019 0:00,5/17/2019 0:00,2001,3,Southwest,393,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0325 0342 0104 1309,18,X,X,401,MINI-MART,,,IC,Invest Cont,440,,,,4200    CRENSHAW                     BL,,34.0085,-118.3351
190604777,1/17/2019 0:00,1/17/2019 0:00,1400,6,Hollywood,639,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,5400    HOLLYWOOD                    BL,,34.1036,-118.3049
191106570,2/21/2019 0:00,2/21/2019 0:00,2345,11,Northeast,1113,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0104 0344,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,2600    COLORADO                     BL,,34.1422,-118.223
191900639,3/25/2019 0:00,3/25/2019 0:00,242,19,Mission,1981,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1407 1419 1281 0906 1206 0334 1100 0450 0913,38,M,W,505,MOTEL,102,HAND GUN,IC,Invest Cont,230,998,,,8500    SEPULVEDA                    BL,,34.2267,-118.4704
190316185,7/6/2019 0:00,7/6/2019 0:00,1327,3,Southwest,375,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0104 0329 0325 1309 0202 1822 1202,62,M,A,222,LAUNDROMAT,,,AO,Adult Other,440,,,,1700 W  MARTIN LUTHER KING JR        BL,,34.0146,-118.313
190717517,10/3/2019 0:00,10/3/2019 0:00,918,7,Wilshire,711,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,32,F,W,101,STREET,,,IC,Invest Cont,745,,,,OAKWOOD,LA CIENEGA,34.0782,-118.3766
190507344,3/16/2019 0:00,3/16/2019 0:00,1000,5,Harbor,517,1,310,BURGLARY,0344 1202,63,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1200    CARY                         AV,,33.787,-118.2571
190717522,10/3/2019 0:00,9/29/2019 0:00,1000,7,Wilshire,722,2,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",344,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,670,,,,400 S  SAN VICENTE                  BL,,34.0715,-118.3764
190915446,8/18/2019 0:00,8/18/2019 0:00,1616,9,Van Nuys,964,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 0344,68,F,O,119,"PORCH, RESIDENTIAL",,,AA,Adult Arrest,440,,,,5000    TILDEN                       AV,,34.1613,-118.4475
190515502,9/16/2019 0:00,9/14/2019 0:00,1220,5,Harbor,505,1,310,BURGLARY,0329 1607 0321 0344,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,19400 S  VERMONT                      AV,,33.8524,-118.2924
191911239,6/1/2019 0:00,5/31/2019 0:00,2300,19,Mission,1962,1,350,"THEFT, PERSON",0906 0344 0561,45,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,350,,,,9200    SEPULVEDA                    BL,,34.2374,-118.4676
190515675,9/19/2019 0:00,9/19/2019 0:00,1200,5,Harbor,563,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0377 1501,37,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,600 W  12TH                         ST,,33.7334,-118.2902
190313892,5/30/2019 0:00,5/30/2019 0:00,500,3,Southwest,363,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0344 0400 0411 1822 2033 1501,23,F,B,103,ALLEY,223,UNKNOWN TYPE CUTTING INSTRUMENT,IC,Invest Cont,230,,,,MARTIN LUTHER KING JR        BL,CRENSHAW                     BL,34.0111,-118.3351
192111918,6/24/2019 0:00,6/24/2019 0:00,1600,21,Topanga,2147,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377,50,M,W,102,SIDEWALK,,,IC,Invest Cont,440,,,,SHERMAN                      WY,DE SOTO,34.2011,-118.5885
190317302,7/23/2019 0:00,7/23/2019 0:00,2030,3,Southwest,362,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344 0377,37,F,B,514,GROUP HOME,,,IC,Invest Cont,440,,,,NICOLET                      AV,COLISEUM                     ST,34.0183,-118.3504
192119464,12/6/2019 0:00,12/3/2019 0:00,1700,21,Topanga,2175,1,330,BURGLARY FROM VEHICLE,1601 1609,48,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,22700    DEL VALLE                    ST,,34.166,-118.6203
191515282,8/8/2019 0:00,8/6/2019 0:00,445,15,N Hollywood,1591,2,354,THEFT OF IDENTITY,1822,40,F,W,101,STREET,,,AA,Adult Arrest,354,,,,4100    VANETTA                      DR,,34.1397,-118.4044
191214244,5/20/2019 0:00,5/20/2019 0:00,2015,12,77th Street,1245,2,624,BATTERY - SIMPLE ASSAULT,0361 0416,22,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1400 W  GAGE                         AV,,33.9824,-118.3003
190324874,11/18/2019 0:00,11/18/2019 0:00,1935,3,Southwest,392,1,210,ROBBERY,1227 0344 0305 0416 0302 0334 0429 0325 0342 1414,45,F,B,121,YARD (RESIDENTIAL/BUSINESS),109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,,,,4400    7TH                          AV,,34.0037,-118.3246
190414710,9/18/2019 0:00,9/18/2019 0:00,1725,4,Hollenbeck,457,2,903,CONTEMPT OF COURT,2038,0,X,X,101,STREET,,,IC,Invest Cont,903,,,,FICKETT,CESAR E CHAVEZ,34.0468,-118.2052
191318375,9/11/2019 0:00,9/11/2019 0:00,645,13,Newton,1324,2,624,BATTERY - SIMPLE ASSAULT,2004 0416 0432,46,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2100 S  CENTRAL                      AV,,34.0224,-118.2524
192017266,9/23/2019 0:00,9/23/2019 0:00,1140,20,Olympic,2013,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,3RD,OXFORD,34.069,-118.3079
191310127,4/20/2019 0:00,4/20/2019 0:00,2340,13,Newton,1353,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1300 1310,30,F,B,122,"VEHICLE, PASSENGER/TRUCK",102,HAND GUN,IC,Invest Cont,230,,,,47TH,AVALON,34.0008,-118.2652
202105830,2/10/2020 0:00,10/15/2019 0:00,1200,21,Topanga,2147,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0533 1259 0913,14,F,H,109,PARK/PLAYGROUND,,,IC,Invest Cont,810,998,,,7000    DE SOTO                      AV,,34.1974,-118.5884
192111881,6/24/2019 0:00,6/24/2019 0:00,1443,21,Topanga,2158,1,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,1501 1402,65,M,W,101,STREET,,,AA,Adult Arrest,421,998,,,20600    AETNA                        ST,,34.1788,-118.5813
191208353,3/5/2019 0:00,3/5/2019 0:00,10,12,77th Street,1245,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1817,29,F,B,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,,,,1500 W  70TH                         ST,,33.9762,-118.3024
190906496,2/20/2019 0:00,2/19/2019 0:00,2005,9,Van Nuys,931,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0400,0,X,X,248,CELL PHONE STORE,,,IC,Invest Cont,442,,,,6100    SEPULVEDA                    BL,,34.1841,-118.4693
191413506,6/4/2019 0:00,6/4/2019 0:00,1110,14,Pacific,1472,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,200    REDLANDS                     ST,,33.9539,-118.447
190204119,1/2/2019 0:00,1/2/2019 0:00,1230,2,Rampart,236,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1206 2002 1802 0913 0411 0445 1309,22,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",212,BOTTLE,AO,Adult Other,230,,,,100 S  BURLINGTON                   AV,,34.065,-118.2666
190916629,9/10/2019 0:00,9/9/2019 0:00,2359,9,Van Nuys,974,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300 1606,35,M,A,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,420,,,,4700    NATICK                       AV,,34.1561,-118.4542
191314869,7/12/2019 0:00,7/12/2019 0:00,1050,13,Newton,1371,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,39,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,MAIN                         ST,54TH                         ST,33.9934,-118.2739
